String,Statement,Label
what are grits made from,,"Modern grits are commonly made of alkali-treated corn known as hominy .,Grits are similar to other thick maize-based porridges from around the world such as polenta or the thinner farina .,`` Instant grits '' have been processed to speed cooking .,This word originally referred to wheat and other porridges now known as groats in parts of the U.K.."
when did coca cola first come out,,"The Las Vegas Strip World of Coca-Cola museum in 2003,The Coca-Cola Company also sells concentrate for soda fountains to major restaurants and food service distributors ."
what role do ombudsman play in the swedish government ?,,"Ombudsmen sometimes also aim to identify systemic issues leading to poor service or breaches of people 's rights .,More recent developments have included the creation of specialised Children 's Ombudsman and Information Commissioner agencies .,The post of ombudsman had by the end of the 20th century been instituted by most governments and by some intergovernmental organizations such as the European Union .,Making a complaint to an ombudsman is usually free of charge .,Sign at Georgetown University Washington DC"
what state is new england in,,Ca . 1910Ôø?913
who starred in the drama emergency,,"Emergency !,is an American television series that combines the medical drama and action-adventure genres .,It was produced by Mark VII Limited and distributed by Universal Studios .,Emergency !"
What states are in the Eastern Standard time zone ?,,"Places that use Eastern Standard Time ( EST ) when observing standard time ( autumn/winter ) are 5 hours behind Coordinated Universal Time ( ) .,Southern parts of the zone ( Panama and the Caribbean ) do not observe daylight saving ."
what is an atomic number periodic table,,"Standard form of the periodic table .,The colors represent different categories of elements explained below .,Elements are presented in order of increasing atomic number ( number of protons ) .,He developed his table to illustrate periodic trends in the properties of the then-known elements .,Mendeleev also predicted some properties of then-unknown elements that would be expected to fill gaps in this table .,Most of his predictions were proved correct when the elements in question were subsequently discovered .,Mendeleev 's periodic table has since been expanded and refined with the discovery or synthesis of further new elements and the development of new theoretical models to explain chemical behavior .,All elements from atomic numbers 1 ( hydrogen ) to 118 ( ununoctium ) have been discovered or synthesized .,The elements after 98 have only been synthesized in laboratories .,Numerous synthetic radionuclides of naturally occurring elements have also been produced in laboratories ."
what version minecraft free,,"Minecraft is a sandbox indie game originally created by Swedish programmer Markus `` Notch '' Persson and later developed and published by Mojang .,All versions of Minecraft receive periodic updates .,The creative and building aspects of Minecraft allow players to build constructions out of textured cubes in a 3D procedurally generated world ."
who played batman in dark knight,,The film received eight Academy Award nominations ; it won the award for Best Sound Editing and Ledger was posthumously awarded Best Supporting Actor .
what people sung at sydney opera house,,"Joseph Cahill 's New South Wales Government gave the go-ahead for work to begin in 1958 .,The government 's bold decision to select Utzon 's design is often overshadowed by the scandal that followed .,It is one of the 20th century 's most distinctive buildings and one of the most famous performing arts centres in the world ."
what is a good bmi,,"A graph of body mass index as a function of body mass and body height is shown above .,The dashed lines represent subdivisions within a major class .,It was devised between 1830 and 1850 by the Belgian polymath Adolphe Quetelet during the course of developing `` social physics '' .,Body mass index is defined as the individual 's body mass divided by the square of their height .,The formulae universally used in medicine produce a unit of measure of kg/m2 .,To work from stone and pounds first multiply the stone by 14 then add the pounds to give the whole mass in pounds ; to work from feet and inches first multiply the feet by 12 then add the inches to give the whole height in inches ."
what kind of person was thomas paine,,"His ideas reflected Enlightenment era rhetoric of transnational human rights .,His attacks on British writer Edmund Burke led to a trial and conviction in absentia in 1792 for the crime of seditious libel .,The Girondists regarded him as an ally .,Only six people attended his funeral as he had been ostracized for his ridicule of Christianity ."
where did the nickname packers come from green bay,,"They are members of the North Division of the National Football Conference ( NFC ) in the National Football League ( NFL ) .,The Packers are the last vestige of `` small town teams '' that were once common in the NFL during the 1920s and 1930s .,In 1919 and 1920 the Packers competed as a semi-professional football team against clubs from around Wisconsin and the Midwest ."
what part of the corn is used in ethanol production,,"World ethanol production for transport fuel tripled between 2000 and 2007 from 17 billion to more than 52 billion liters .,By December 2011 Brazil had a fleet of 14.8 million flex-fuel automobiles and light trucks and 1.5 million flex-fuel motorcycles that regularly use neat ethanol fuel ( known as E100 ) .,Bioethanol is a form of renewable energy that can be produced from agricultural feedstocks .,There has been considerable debate about how useful bioethanol will be in replacing gasoline .,Recent developments with cellulosic ethanol production and commercialization may allay some of these concerns .,Saab 9-3 SportCombi BioPower .,The second E85 flexifuel model introduced by Saab in the Swedish market ."
who shot franz ferdinand,,"A plaque commemorating the location of the Sarajevo assassination ( image taken in 2009 ),The political objective of the assassination was to break off Austria-Hungary 's south-Slav provinces so they could be combined into a Greater Serbia or a Yugoslavia .,The assassins ' motives were consistent with the movement that later became known as Young Bosnia .,Serbian military officers stood behind the attack .,Major Tankosiƒá armed the assassins with bombs and pistols and trained them .,The assassins were given access to the same clandestine tunnel of safe-houses and agents that Rade Malobabiƒá used for the infiltration of weapons and operatives into Austria-Hungary .,Those who were arrested in Bosnia were tried in Sarajevo in October 1914 .,The other conspirators were arrested and tried before a Serbian kangaroo court on the French-controlled Salonika Front in 1916Ôø?917 on unrelated false charges ; Serbia executed three of the top military conspirators .,Much of what is known about the assassinations comes from these two trials and related records .,Assignment of responsibility for the bombing and murders of 28 June is highly controversial because the attack led to the outbreak of World War I one month later ."
who has renee zellweger dated,,She won the Academy Award for Best Supporting Actress for her performance in the drama Cold Mountain ( 2003 ) .
what are the three ossicles,,"They are contained within the middle ear space and serve to transmit sounds from the air to the fluid-filled labyrinth ( cochlea ) .,The absence of the auditory ossicles would constitute a moderate-to-severe hearing loss ."
what are new covenant church,,"It is often thought of as an eschatological Messianic Age or world to come and is related to the biblical concept of the Kingdom of God .,The connection between the Blood of Christ and the New Covenant is seen in most modern English translations of the New Testament with the saying : `` this cup that is poured out for you is the new covenant in my blood '' .,It has been theorized that the New Covenant is the Law of Christ as spoken during his Sermon on the Mount ."
who have presidents pardoned,,"The following List of people pardoned or granted clemency by the President of the United States documents the most prominent cases of each presidency .,U.S. Presidents have no power to grant clemency for crimes prosecuted under state law .,As to the difference between a pardon and a commutation:,A pardon is an executive order vacating a conviction .,The records of acts of clemency were public until 1934 .,In 1981 the Office of the Pardon Attorney was created and records from President H. W. Bush forward are now listed .,This list includes pardons and commutations ."
what time is it in tampa florida,,"Tampa ( ) is a city in the U.S. state of Florida .,The first civilian residents were pioneers who settled near the fort for protection from the nearby Seminole population .,The Greater Tampa Bay area has just over 4 million residents and generally includes the Tampa and Sarasota metro areas .,A 2004 survey by the NYU newspaper Washington Square News ranked Tampa as a top city for `` twenty-somethings . '',Tampa is now ranked as a `` Gamma '' world city by Loughborough University .,Tampa hosted the 2012 Republican National Convention ."
what size engine does a chevrolet cavalier have,,The Chevrolet Cavalier was a compact automobile produced from 1982 to 2005 by General Motors .
when did at & t retire analog wireless,,Cingular became wholly owned by AT & T in December 2006 as a result of AT & T 's acquisition of BellSouth .
what year did martin luther king die,,"He is best known for his role in the advancement of civil rights using nonviolent civil disobedience .,King has become a national icon in the history of American progressivism .,His death was followed by riots in many U.S. cities .,King was awarded the Presidential Medal of Freedom and the Congressional Gold Medal posthumously .,Hundreds of streets in the U.S. have been renamed in his honor .,A memorial statue on the National Mall was opened to the public in 2011 ."
what are some animals in a tigers environment,,"It is the third largest land carnivore ( behind only the polar bear and the brown bear ) .,Its most recognizable feature is a pattern of dark vertical stripes on reddish-orange fur with a lighter underside .,The remaining six tiger subspecies have been classified as endangered by IUCN .,Tigers are among the most recognisable and popular of the world 's charismatic megafauna .,The Bengal tiger is the national animal of both India and Bangladesh ."
Who worked out the reactions that occur in the dark reactions of photosynthesis ?,,"The simplified internal structure of a chloroplast,Overview of the Calvin cycle and carbon fixation,The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .,These reactions take the light-dependent reactions and perform further chemical processes on them .,Plants do not carry out the Calvin cycle by night ."
what to make with linen,,"A linen handkerchief with pulled thread embroidery around the edges,Linen cloth recovered from Qumran Cave 1 near the Dead Sea .,Linen textiles appear to be some of the oldest in the world : their history goes back many thousands of years .,Linen was sometimes used as currency in ancient Egypt .,It has a long `` staple '' ( individual fiber length ) relative to cotton and other natural fibers ."
what spanish speaking countries have the most world cup titles,,"The current format of the tournament involves 32 teams competing for the title at venues within the host nation ( s ) over a period of about a month ; this phase is often called the World Cup Finals .,The 19 World Cup tournaments have been won by eight different national teams .,The World Cup is the world 's most widely viewed sporting event ; an estimated 715.1 million people watched the final match of the 2006 FIFA World Cup held in Germany ."
what is a wii motion remote,,The is an expansion device for the Wii Remote video game controller for the Wii that allows it to more accurately capture complex motion .
who composed the Singapore national anthem,,Majulah Singapura ( Onward Singapore ) is the national anthem of Singapore .
who built the first ship,,"Shipbuilding is the construction of ships and floating vessels .,It normally takes place in a specialized facility known as a shipyard .,The construction of boats is a similar activity called boat building .,The dismantling of ships is called ship breaking ."
what south dakota county is wakonda in,,The population was 321 at the 2010 census .
what are the 4 largest cities in the u.s,,"The following is a list of the most populous incorporated places of the United States of America .,A few exceptional Census Designated Places ( CDPs ) are also included in the Census Bureau 's listing of incorporated places .,This list presents only that portion ( or `` balance '' ) of such consolidated city-counties that are not a part of another incorporated place .,A different ranking is evident when considering U.S. metropolitan area populations ."
what is a r4 card,,"These devices are also known as `` flashcarts '' or `` flashcards '' .,There are two main classes of flashcarts : older devices which fit in Slot-2 ( the Game Boy Advance Game Pak slot ) and newer devices that fit in Slot-1 ( the DS Game Card slot ) .,The storage device either contains flash memory or a slot for a memory card to store homebrew .,Storage devices with a memory-card slot usually have more storage capacity than flash-memory devices .,Storage-device brands differ in their support for homebrew ; DS and Game Boy Advance ROMs ; special features ( such as ability to play media files ) ; physical size and cost ."
what are american people of japanese descent called,,"are American people of Japanese heritage .,Southern California has the largest Japanese-American population in North America ."
Who holds records for most weeks spent at number one as female artist,,200px
what is a cache and dash ?,,A typical cache is a small waterproof container containing a logbook where the geocacher enters the date they found it and signs it with their established code name .
what the name of the song krs 1 and dnice made,,The group pioneered the fusion of dancehall reggae and hip hop music and their debut LP Criminal Minded contained frank descriptions of life in the South Bronx of the late 1980s thus setting the stage for what would eventually become gangsta rap .
WHAT MUNICIPAL BOND INTEREST IS TAXABLE,,"Municipal bonds may be general obligations of the issuer or secured by specified revenues .,Professional traders regularly trade and retrade the same bonds several times a week ."
Who sings the rap song that uses spencer davis beat ?,,"`` Gim me Some Lovin ' '' was a UK # 2 in the Autumn of 1966 and a US # 7 .,The song is ranked # 247 on the Rolling Stone magazine 's list of The 500 Greatest Songs of All Time .,The single features the sound of the Hammond B-3 organ ."
who created imdb,,The website has an Alexa rank of 48 .
what is a bus adapter in a computer ?,,"Fibre Channel Host Bus Adapter ( 64-bit PCI-X card ),SCSI Host Bus Adapter ( 16-bit ISA card ),There are also converged HBAs that support both Ethernet and Fibre Channel called Converged Network Adapters ( CNAs ) ."
where does cashmere come from,,"Cashmere Scarves,Modern men 's cashmere sweaters for sale .,The word cashmere derives from an old spelling of Kashmir .,Garments made from it provide excellent insulation .,such wool product is the fine ( dehaired ) undercoat fibers produced by a cashmere goat ( Capra hircus laniger ) ;,the average diameter of the fiber of such wool product does not exceed 19 microns ; and,such wool product does not contain more than 3 percent ( by weight ) of cashmere fibers with average diameters that exceed 30 microns .,The average fiber diameter may be subject to a coefficient of variation around the mean that shall not exceed 24 percent ."
Who invented egg rolls,,"Egg roll is a term used for many different foods around the world .,Egg rolls as referred to in China .,This is a type of biscuit .,Within China egg rolls are eaten predominantly in the southeast and are not as commonly consumed in the north and western parts of China .,They can be either kosher certified or merely kosher style ."
what westerners include in pain and suffering,,"Pain and suffering is the legal term for the physical and emotional stress caused from an injury ( see also pain and suffering ) .,Individual claimants or those represented by lawyers often present demands to insurers to settle for money .,These demand for bodily injury compensation monies often set out damages that are similarly used in the court litigated pleadings .,Demands are usually written summaries of a claimant 's medical care and the facts which resulted in the injury ."
what is a medallion guarantee,,"Sample of a Medallion signature guarantee stampIn,It is a guarantee by the transferring financial institution that the signature is genuine and the financial institution accepts liability for any forgery .,Signature guarantees protect shareholders by preventing unauthorized transfers and possible investor losses .,They also limit the liability of the transfer agent who accepts the certificates .,Different institutions have different policies as to what type of identification they require to provide the guarantee and whether they charge a fee for such service ( usually nominal if any ) .,Most institutions will not guarantee a signature of someone who has not already been their customer ."
who destroyed street cars,,"The General Motors streetcar conspiracy ( also known as the Great American streetcar scandal ) refers to allegations and convictions in relation to a program by General Motors ( GM ) and other companies who purchased and then dismantled streetcar and electric train systems in many American cities .,Several of the companies involved were convicted in 1949 of conspiracy to monopolize interstate commerce but were acquitted of conspiring to monopolize the ownership of these companies .,Both Quinby and Snell argued that the deliberate destruction of streetcars was part of a larger strategy to push the United States into automobile dependency ."
who wrote the song in the mood,,"`` In the Mood '' is a big band era # 1 hit recorded by American bandleader Glenn Miller .,It topped the charts in 1940 in the U.S. and one year later was featured in the movie Sun Valley Serenade ."
who discovered planet neptune,,"NEPTUNE logo,The NEPTUNE Canada project is the world‚Äôs first regional-scale underwater ocean observatory that plugs directly into the Internet ."
what is a 10 '' Vinyl Release,,"The groove usually starts near the periphery and ends near the center of the disc .,They continue to be manufactured and sold in the 21st century .,They are especially used by DJs and audiophiles for many types of music ."
what are they like in tropical grassland in plant,,"The Konza tallgrass prairie in the Flint Hills of northeastern Kansas .,A grassland in the Philippines .,An Inner Mongolian grassland in the People 's Republic of China,Grasslands occur naturally on all continents except Antarctica .,Grasslands are found in most ecoregions of the Earth ."
what is `` thin film '' technology,,"A thin film is a layer of material ranging from fractions of a nanometer ( monolayer ) to several micrometers in thickness .,Electronic semiconductor devices and optical coatings are the main applications benefiting from thin-film construction .,The process of silvering was once commonly used to produce mirrors .,A very-thin-film coating ( less than a nanometer thick ) is used to produce two-way mirrors .,Work is being done with ferromagnetic and ferroelectric thin films for use as computer memory .,Thin-films are used to produce thin-film batteries .,Thin films are also used in dye-sensitized solar cells .,Ceramic thin films are in wide use ."
what level does gears of war go up to,,"Gears of War is a military science fiction third-person shooter video game developed by Epic Games and published by Microsoft Game Studios .,The game is based on the use of cover and strategic fire for the player to advance through the scenarios ; a second player can play cooperatively through the main campaign to assist .,The game also features several online multiplayer game modes for up to eight players .,Gears of War sold over three million copies in just ten weeks and was the fastest-selling video game of 2005 as well as the second-most played game over Xbox Live during .,It currently stands as the 5th best selling Xbox 360 game of all time .,The game has since sold over five million copies by September 2008 ."
when trees grow in brooklyn,,"A Tree Grows in Brooklyn is a 1943 novel written by Betty Smith .,The novel is set in the first and second decades of the 20th century .,The book was an immense success ."
what zones are tropical,,"World map with the intertropical zone highlighted in red .,Tropical climate zones of the Earth where all twelve months have mean temperatures above 18 ¬∞C ( 64 ¬∞F ) .,The tropics is a region of the Earth surrounding the Equator .,It is limited in latitude by the Tropic of Cancer in the northern hemisphere at approximately N and the Tropic of Capricorn in the southern hemisphere at S ; these latitudes correspond to the axial tilt of the Earth .,The tropics are also referred to as the tropical zone and the torrid zone ( see geographical zone ) .,The tropics include all the areas on the Earth where the Sun reaches a point directly overhead at least once during the solar year ."
what you need short story,,"`` What You Need '' is an episode of the American television anthology series The Twilight Zone .,It is based on the short story of the same name by Lewis Padgett ( Henry Kuttner and C. L. Moore ) ."
when does air bag deploy,,"An airbag is a vehicle safety device .,It is an occupant restraint system consisting of a flexible fabric envelope or cushion designed to inflate rapidly during an automobile collision .,Its purpose is to cushion occupants during a crash and provide protection to their bodies when they strike interior objects such as the steering wheel or a window .,Airbags are normally designed with the intention of supplementing the protection of an occupant who is correctly restrained with a seatbelt .,Most designs are inflated through pyrotechnic means and can only be operated once .,Newer side-impact airbag modules consist of compressed air cylinders that are triggered in the event of a side impact vehicle impact .,The first commercial designs were introduced in passenger automobiles during the 1970s with limited success ."
who gets a w2 form,,"IRS tax forms are used for taxpayers and tax-exempt organizations to report financial information to the Internal Revenue Service ( IRS ) of the United States .,There are over 800 various forms and schedules .,The best-known of these is Form 1040 used by individuals ."
what is a class c driver 's license,,"Drivers are normally required to obtain a license from their state of residence and all states recognize each other 's licenses for temporary visitors subject to normal age requirements .,A state may also suspend an individual 's driving privilege within its borders for traffic violations ."
what are some chinese inventions,,"The list below contains these and other inventions .,A sophisticated economic system in China gave birth to inventions such as paper money during the Song Dynasty ( 960Ôø?279 ) .,They also made large mechanical puppet theaters driven by waterwheels and carriage wheels and wine-serving automatons driven by paddle wheel boats .,The contemporaneous Peiligang and Pengtoushan cultures represent the oldest Neolithic cultures of China and were formed around 7000 BC ."
What are the primary components of globalization that affect how the practice of medicine takes place in the U.S. ?,,"Some even trace the origins to the third millennium BCE .,The term globalization has been in increasing use since the mid-1980s and especially since the mid-1990s ."
what team was the movie the replacements based on,,The Replacements is a 2000 American sports comedy film directed by Howard Deutch .
where does american airlines fly into italy,,"An American Airlines aircraft takes off from Dallas/Fort Worth International Airport .,This airport is the airline 's largest hub .,American Airlines flies to 79 domestic destinations and 78 international destinations in 48 countries .,( as of December 2012 )"
when did wwi begin,,"World War I ( WWI ) was a global war centred in Europe that began on 28 July 1914 and lasted until 11 November 1918 .,One of the long-term causes of the war was the resurgence of imperialism in the foreign policies of the great powers of Europe .,Several alliances formed over the previous decades were invoked .,After the German march on Paris was brought to a halt‚Äîthe so-called Miracle of the Marne ‚Äîthe Western Front settled into a static battle of attrition with a trench line that changed little until 1917 .,Italy and Bulgaria went to war in 1915 and Romania in 1916 .,The war ended in victory for the Allies .,The map of central Europe was redrawn into several smaller states .,The League of Nations was formed in the hope of preventing another such conflict ."
what two empires fought to control afghanistan,,"Afghanistan has been an ancient focal point of the Silk Road and human migration .,Archaeologists have found evidence of human habitation from as far back as the Middle Paleolithic ."
what triggered the civil war,,"Foreign powers did not intervene .,Outgoing Democratic President James Buchanan and the incoming Republicans rejected secession as illegal .,Lincoln 's inaugural address declared his administration would not initiate civil war .,Eight remaining slave states continued to reject calls for secession .,Confederate forces seized numerous federal forts within territory claimed by the Confederacy .,The Confederates assumed that European countries were so dependent on `` King Cotton `` that they would intervene ; none did and none recognized the new Confederate States of America .,The Union soon controlled the border states and established a naval blockade that crippled the southern economy .,The Eastern Theater was inconclusive in 1861Ôø?2 .,Western successes led to Ulysses S. Grant command of all Union armies in 1864 .,The American Civil War was one of the earliest true industrial wars ."
what makes up cost of goods sold,,"Cost of goods sold ( COGS ) refer to the inventory costs of those goods a business has sold during a particular period .,The costs of those goods not yet sold are deferred as costs of inventory until the inventory is sold or written down in value ."
what is a store confectioner,,"Most confectionery stores are filled with an assortment of sweets far larger than a grocer or convenience store could accommodate .,The village of Pateley Bridge claims to have the oldest confectionery store in England ."
what species does johnson grass in oklahoma belong to ?,,Oklahoma is the 20th most extensive and the 28th most populous of the 50 United States .
what are tires made of,,"Stacked and standing car tires,A tire ( or tyre ) is a ring-shaped covering that fits around a wheel 's rim to protect it and enable better vehicle performance .,They consist of a tread and a body .,The tread provides traction while the body provides containment for a quantity of compressed air .,Early rubber tires were solid ( not pneumatic ) ."
what are organic semiconductors and what is concept of homo and lumo in organic semiconductor,,"STM image of self-assembled supramolecular chains of the organic semiconductor Quinacridone on Graphite .,There are two major overlapping classes of organic semiconductors .,These are organic charge-transfer complexes and various linear-backbone conductive polymers derived from polyacetylene .,Such mechanisms arise from the presence of hole and electron conduction layers separated by a band gap .,Organic semiconductors susceptible to doping such as polyaniline ( Ormecon ) and are also known as organic metals .,Typical current carriers in organic semiconductors are holes and electrons in œÄ-bonds .,Almost all organic solids are insulators .,Polycyclic aromatic hydrocarbons and phthalocyanine salt crystals are examples of this type of organic semiconductor .,Such unpaired electrons can function as current carriers .,This type of semiconductor is also obtained by pairing an electron donor molecule with an electron acceptor molecule ."
where do women ejeculation exactly coming from,,Female ejaculation is the expulsion of fluid by human females from the paraurethral ducts through and around the female urethra during or before an orgasm .
who won the women 's world cup,,"The championship has been awarded every four years since the inaugural tournament in 1991 .,Japan won the 2011 tournament in a penalty shootout .,The current format of the tournament involves 16 teams competing for the title at venues within the host nation ( s ) over a period of about three weeks ; Ôø?this phase is often called the World Cup Finals .,The six World Cup tournaments have been won by four different national teams .,The next World Cup will be hosted by Canada in 2015 ."
Who do they say the Son of Man ...,,"'Son of man ' is the translation of various Hebrew and Greek phrases used in both the Hebrew Bible and the New Testament .,The Hebrew expression `` son of man '' ( ◊ë◊ü‚Äì◊ê◊ìÔøΩ?i.e . ben-'adam ) appears one hundred and seven times in the Hebrew Bible .,This is the most common Hebrew construction for the singular but is used mostly in Ezekiel ( 93 times ) and 14 times elsewhere .,Geza Vermes has stated that `` the Son of man '' in the Christian gospels is unrelated to Hebrew Bible usages .,The interpretation of the use of `` the Son of man '' in the New Testament has remained challenging and after 150 years of debate no consensus on the issue has emerged among scholars ."
when did cigarette commercials get banned,,"It is now one of the most highly regulated forms of marketing .,Some or all forms of tobacco advertising are banned in many countries ."
what machines are called Les Flippers in France ?,,The company was founded in 1968 as Advanced Patent Technology .
What are the levels of Hell,,"Inferno ( Italian for `` Hell `` ) is the first part of Dante Alighieri 's 14th-century epic poem Divine Comedy .,It is followed by Purgatorio and Paradiso ."
who owns smirnoff,,"Smirnoff is a brand of vodka owned and produced by the British company Diageo .,The Smirnoff brand began with a vodka distillery founded in Moscow by Pyotr Arsenievich Smirnov ( 1831Ôø?898 ) .,It is now distributed in 130 countries ."
who wrote serenity prayer,,"The Serenity Prayer is the common name for an originally untitled prayer by the American theologian Reinhold Niebuhr ( 1892Ôø?971 ) .,It has been adopted by Alcoholics Anonymous and other twelve-step programs .,And wisdom to know the difference ."
what is a low pulse rate,,Pulse pressure is the pressure that is felt when feeling the pulse .
what will happen to the hills cast members now,,"The series originally followed the personal life of former Laguna Beach star Lauren Conrad and her friends ' new lives in Los Angeles .,The series concluded at the end of the sixth season .,AOL TV called it TV 's Biggest Guilty Pleasure .,The series premiered in syndication in the fall of 2009 alongside Laguna Beach : The Real Orange County ."
what is a bad beat in poker,,"It most often occurs where one player bets the clearly stronger hand and their opponent makes a poor call that eventually `` hits '' and wins .,There is no consensus among poker players as to what exactly constitutes a bad beat and often players will disagree about whether a particular hand was a bad beat ."
where do goldfish live,,The goldfish ( Carassius auratus auratus ) is a freshwater fish in the family Cyprinidae of order Cypriniformes .
what part of beef are rouladen cut from ?,,"Uncooked Rouladen,The beef rouladen as we know them today have become popular over the last century .,The cut is usually topside beef or silverside since this is the cheaper cut .,The mixture varies from region to region .,Rouladen are traditionally served for dinner .,Red wine is often served with this dish ."
where does cellular respiration occur,,"Typical eukaryotic cell .,Respiration is one of the key ways a cell gains useful energy to fuel cellular activity .,Cellular respiration is considered an exothermic redox reaction .,This difference is because it occurs in many separate steps ."
what are some countries,,"Countries by 2011 GDP ( nominal ) according to the CIA World Factbook .,The GDP dollar estimates presented here are calculated at market or government official exchange rates .,Therefore these figures should be used with caution .,Some countries/regions may have citizens which are on average wealthy .,These countries/regions could appear in this list as having a small GDP .,( See List of countries by GDP ( PPP ) ),The first list includes data compiled by the United Nations Statistics Division for 2011 .,The second list largely includes data ( estimate ) compiled by the International Monetary Fund for 2012 ."
what is a lapping machine,,"This can take two forms .,This produces microscopic conchoidal fractures as the abrasive rolls about between the two surfaces and removes material from both .,The lap is then used to cut a harder material‚Äîthe workpiece .,The abrasive embeds within the softer material which holds it and permits it to score across and cut the harder material .,This is one twentieth of the wavelength of light from the commonly used 632.8 nm helium neon laser light source .,Surfaces this flat can be molecularly bonded ( optically contacted ) by bringing them together under the right conditions ."
who said dallas cowboys were america 's team,,The term `` America 's Team '' is a popular nickname in the United States that refers to the Dallas Cowboys in the National Football League .
What are the two initials of the first US president to resign from office,,"The President of the United States of America ( POTUS ) is the head of state and head of government of the United States .,The president leads the executive branch of the federal government and is the commander-in-chief of the United States Armed Forces .,The president is frequently described as the most powerful person in the world ."
what are the health effects of drinking bottled water,,"Bottled mineral water,Bottled water may be carbonated or not .,Sizes range from small single serving bottles to large carboys for water coolers ."
what are the rivers in india,,"Map showing rivers and flood prone areas in India,Rivers of India play an important role in the lives of the Indian people .,This easily explains why nearly all the major cities of India are located by the banks of rivers .,The rivers also have an important role in Hindu mythology and are considered holy by all Hindus in the country .,Seven major rivers along with their numerous tributaries make up the river system of India .,Dr.Francis Buchanan surveyed the courses of the rivers of India along with their tributaries and branches in 1810-11 AD and presented a minute account of it .,The shifting of the courses and bed over the centuries is very remarkable .,All major rivers of India originate from one of the three main watersheds :,The Himalaya and the Karakoram ranges,Vindhya and Satpura ranges and Chotanagpur plateau in central India,Sahyadri or Western Ghats in western India"
What are the fundamentals of Bretton Woods system for fixed exchange rates,,"The Bretton Woods system of monetary management established the rules for commercial and financial relations among the world 's major industrial states in the mid-20th century .,The Bretton Woods system was the first example of a fully negotiated monetary order intended to govern monetary relations among independent nation-states .,These organizations became operational in 1945 after a sufficient number of countries had ratified the agreement .,The chief features of the Bretton Woods system were an obligation for each country to adopt a monetary policy that maintained the exchange rate by tying its currency to the U.S. dollar and the ability of the IMF to bridge temporary imbalances of payments .,This brought the Bretton Woods system to an end and saw the dollar become fiat currency ."
what motors do ducatis have,,Ducati Motor Holding S.p.A. is an Italian company that designs and manufactures motorcycles .
what is a good credit score,,"A credit score is primarily based on credit report information typically sourced from credit bureaus .,Lenders also use credit scores to determine which customers are likely to bring in the most revenue .,The use of credit or identity scoring prior to authorizing access or granting credit is an implementation of a trusted system .,Credit scoring is not limited to banks .,These techniques combine thousands of factors but they are more or less similar or the same ."
what is a base SI unit,,"The International System of Units ( SI ) defines seven units of measure as a basic set from which all other SI units are derived .,These SI base units and their physical quantities are:,metre for length ( US English : meter ),kilogram for mass ( note : not the gram ),second for time,ampere for electric current,kelvin for temperature,candela for luminous intensity,mole for the amount of substance .,The SI base quantities form a set of mutually independent dimensions as required by dimensional analysis commonly employed in science and technology ."
what river goes through colorado national monument,,Monument Canyon
where do the stripes go on the service charlies,,The Uniforms of the United States Marine Corps serve to distinguish Marines from members of other services .
what state is area code 419,,"North American telephone area codes 419 and 567 serve the northwest quadrant of the U.S. state of Ohio .,Other areas served include the Lake Erie Islands north of Port Clinton and west of Sandusky ."
what is 9/11 bombings,,"Four passenger airliners were hijacked by 19 al-Qaeda terrorists so they could be flown into buildings in suicide attacks .,Suspicion quickly fell on al-Qaeda .,Many countries strengthened their anti-terrorism legislation and expanded law enforcement powers .,The destruction of the Twin Towers and other properties caused serious damage to the economy of Lower Manhattan and had a significant effect on global markets ."
what are herbivores in finding nemo,,It is Pixar 's first film to be released in cinemas in the northern hemisphere summer .
when to dance with the iconic boyz,,This season takes a different route from past seasons .
what are social security taxes,,"Social Security is primarily funded through dedicated payroll taxes called Federal Insurance Contributions Act tax ( FICA ) .,Upward redistribution of income is responsible for about 43 % of the projected Social Security shortfall over the next 75 years .,Social Security is currently estimated to keep roughly 40 percent of all Americans age 65 or older out of poverty ."
what is alcohol content of beer per volume,,"The alcohol by volume shown on a bottle of absinthe .,The ABV standard is used worldwide ."
when did charles dickens live,,"Charles John Huffam Dickens ( ; 7 February 1812 Ôø?9 June 1870 ) was an English writer and social critic .,He created some of the world 's most memorable fictional characters and is generally regarded as the greatest novelist of the Victorian period .,His novels and short stories continue to be widely popular .,Dickens sprang to fame with the 1836 serial publication of The Pickwick Papers .,Dickens was regarded as the literary colossus of his age ."
when did the civil rights movement begin,,"The civil rights movement was a series of worldwide political movements for equality before the law that peaked in the 1960s .,In many situations it took the form of campaigns of civil resistance aimed at achieving change by nonviolent forms of resistance .,Civil rights movements ranging from the global LGBT rights movement to the global Women 's rights movement to various racial minority rights movements around the world continue ."
who won fifa world cup 2010,,"It took place in South Africa from 11 June to 11 July 2010 .,Thirty-two teams were selected for participation via a worldwide qualification tournament that began in August 2007 .,It was the first time that the hosts were eliminated in the first round ."
when did egg mcmuffin get invented,,The Egg McMuffin is the signature breakfast sandwich ; it was invented by the late McDonald 's franchisee Herb Peterson in the late 1960s and was introduced nationwide in 1972 .
what state is new orleans in,,"The city is often referred to as the `` most unique '' in America .,The city and Orleans Parish ( ) are ."
