String,new_string
where did people go and drink during the prohibition,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what are geologists currently researching,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
when did the us stop producing vacuum tubes,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what year were skittles made,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
where did winston churchill go to school,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
where can i buy ruby gloom dvd,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what model years did the ford focus zx3 have the zetec engine,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what organisms can not grow on a glucose salt medium,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is an agents job role in film,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is a melon baller used for,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what are Knowledge Skills Abilities,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what are the elements in whole grain oats,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
when album love always released,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is 5 1 arm mortgage,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
who killed robert kennedy,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what time was the modern age from\,[{'generated_text': 'what is the modern Age of Comic books ?'}]
when Harry met Sally case,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
who owns hamburger helper,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what makes a dwarf planet,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what are debit cards made of,[{'generated_text': 'what is a credit card ?'}]
when did jack lalanne die,[{'generated_text': 'why was LaLanne inducted to the California Hall of Fame ?'}]
what rank is the highest in the air force,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
where does Penelope Cruz come from ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is `` my computer '' called for windows 7,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
who made the original care bears,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what states does interstate 70 travel through,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
when do solar eclipses happen ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what are the three dominant political parties in America ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
where has gil byrd coached ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what latitude is tropic of cancer,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what video format will play in a DVD player,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what part of the government governs the US post office ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what state is the capital in,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what are square diamonds called ?,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is a dogs classification,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what types of microscopes do not require a vacuum,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what is a good leg press,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
what nationality is wendy williams,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
who said give me liberty or give me death,[{'generated_text': 'what did the painting by the same name belong to ?'}]
what president was theodore roosevelt,[{'generated_text': 'who was the first president of the u.s.a. ?'}]
what is 2nd or 3rd cousin once removed,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
who starred in webster,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
when a cell divides,"{'error': 'Model voidful/bart-eqg-question-generator is currently loading', 'estimated_time': 20.0}"
who sings backup on no one to blame howard jones,[{'generated_text': 'what kind of music did his music fuse with ?'}]
what year did phil mellor die at iom tt wiki,{'error': 'Service Unavailable'}
when did mass unemployment start ?,{'error': 'Service Unavailable'}
what society is collectivist,{'error': 'Service Unavailable'}
what is adem disease,[{'generated_text': 'what is the average time to recover from the disease ?'}]
where does acid from stomach originate ?,[{'generated_text': 'what is the similarity between the words gastro- and gastric ?'}]
what kind of wood was used for car trim ?,[{'generated_text': 'when did the writer get the Pontiac Special Series 25 Woodie ?'}]
what is a biwa pearl,[{'generated_text': 'what kind of pearls are called wild pearls ?'}]
who created bing,"[{'generated_text': ""what 's the purpose in writing this text ?""}]"
who usually catches the football,"[{'generated_text': 'when a player takes on the field is called their position ,'}]"
what percentage of irish people get an education,[{'generated_text': 'how many people live in the us today ?'}]
who made hubble telescope,[{'generated_text': 'how long has Hubble been in operation ?'}]
what are anti inflammatories,[{'generated_text': 'what is anti-inflammatory ?'}]
when tonight show first started in 1962 everyone did this on camera,[{'generated_text': 'how long has the Tonight show been on the air ?'}]
when did andrea doria sink,[{'generated_text': 'why did the accident occur ?'}]
what are dialysis tubes,[{'generated_text': 'what is the function of osmosis ?'}]
who invented the thermometer,[{'generated_text': 'what is the mercury laboratory thermometer ?'}]
what are the names of the 7 dwarfs,[{'generated_text': 'when did snow white and the Seven Dwarfs come out ?'}]
What songs were used in the Viva La Bam episode Raab 's Russian Mail Order Bride,[{'generated_text': 'how long did the show last ?'}]
when flushed away came out on dvd,[{'generated_text': 'what is the theme of the movieFlushed Away ?'}]
when did boston braves move,[{'generated_text': 'why are the Braves considered the oldest continuously playing team in major North american sports ?'}]
what are leaf lobe,[{'generated_text': 'which word can best describe the leaves of a beech tree ?'}]
Who played Spanky on Little Rascals,[{'generated_text': 'what was the first production at the Roach studio ?'}]
when did zacharias janssen make a discovery related to the cell theory,"[{'generated_text': ""what was janssen 's invention ?""}]"
what state is tahoe in,[{'generated_text': 'what is special about lake Tahoe ?'}]
who proposed amendment 27,[{'generated_text': 'how many years has the Twenty-seventh Amendment been adopted ?'}]
when they came for the jews,[{'generated_text': 'why is there some disagreement over the exact wording of the quotation ?'}]
what are four thirds cameras,[{'generated_text': 'what is the logo of the four Thirds system ?'}]
what is a HVAC company,"[{'generated_text': 'according to the text , what is the first step in carrying out an investigation ?'}]"
who did james bond work for,"[{'generated_text': 'who wrote the novel ""Young Bond "" ?'}]"
who wrote nature boy,[{'generated_text': 'what is the theme of the song ?'}]
what numbers the louisiana,[{'generated_text': 'how many cities are there in the 50 us ?'}]
when did women get the right to own property,[{'generated_text': 'what is the basic right of women and girls ?'}]
what are the top three laws in science,"[{'generated_text': ""what 's the law of motion ?""}]"
when did playstation 3 first launch,[{'generated_text': 'what was the problem with the PlayStation 3 in the first half of 2007 in the europe'}]
who played in the 2010 NBA Finals,[{'generated_text': 'how many games did the 2010 NBA Finals last ?'}]
where does ground pepper come from,[{'generated_text': 'how long hasried ground pepper been used ?'}]
what is a normal ejection fraction,[{'generated_text': 'which is the correct way of ejecting EF ?'}]
where do prosecutors get evidence for criminal court,[{'generated_text': 'what is the probable cause for a criminal trial ?'}]
When did Strawberry Shortcake dolls appear,[{'generated_text': 'what kind ofcake is a traditional one ?'}]
who contacted muhammad,[{'generated_text': 'who was the last prophet sent by God for mankind ?'}]
who wrote the famous novel Great books of the western world volume 27 ?,[{'generated_text': 'what kind of book is the second edition of the great books ?'}]
when did pearl harbor get bombed,[{'generated_text': 'why was active alliance replaced by active alliance ?'}]
who won season 2 of project runway,[{'generated_text': 'when did the second season of the show begin ?'}]
what is a mule in coins,[{'generated_text': 'what is a mistake in a mule ?'}]
What to do for low lymphocyte count,[{'generated_text': 'how many types of white blood cells are there in the body ?'}]
what versions of windows do not have powershell,[{'generated_text': 'what is a PowerShell scripting interface for Windows products ?'}]
when does black friday start for christmas,[{'generated_text': 'what was the use of the term before the word was used outside the city ?'}]
where did the film the family that preys take place at,[{'generated_text': 'what is the second Perry-directed film ?'}]
what is 1/10 net 30,[{'generated_text': 'what type of writing is this text ?'}]
what other territories did the english sharing the island of st kitts,[{'generated_text': 'why were the islands in and around the Caribbean not part of the u.s.a'}]
who sang what a wonderful world,"[{'generated_text': 'who wrote the song "" what a Wonderful world "" ?'}]"
what month is the president inaugurated,[{'generated_text': 'when was the last time the president was in office ?'}]
what songs are on the new lady gaga album,[{'generated_text': 'where can we most probably find this article ?'}]
who died on the florida gators college baseball team in 2010,[{'generated_text': 'what is the picture of the 1924 Baseball team ?'}]
where do most political candidates get their money,"[{'generated_text': ""what 's the portrait of Hannibal Hamlin ?""}]"
what movement was elizabeth cady stanton a part of,[{'generated_text': 'what was the temperance movement like ?'}]
who starred in my fair lady,"[{'generated_text': 'who wrote "" my Fair Lady "" ?'}]"
who deregulated the banks,[{'generated_text': 'which is not the act of degulation ?'}]
what radio station are the boston bruins on ?,[{'generated_text': 'what kind of program is this one ?'}]
What year does the short story `` There Will Come Soft Rains '' take place ?,[{'generated_text': 'what was the short story about ?'}]
what are the characteristics of an ethnic group,[{'generated_text': 'how many people are there in the world according to the text ?'}]
what percent of total energy is solar energy,[{'generated_text': 'what is the disadvantage of the Gemasolar solar plant ?'}]
where latin,[{'generated_text': 'what was the original alphabet used by the ancient Romans ?'}]
who shot abraham lincoln,[{'generated_text': 'what was the date of his death ?'}]
what are add ons,"[{'generated_text': 'what is "" add-on "" ?'}]"
what are club seats,[{'generated_text': 'what is special about the club level ?'}]
where sophia loren lives in italy,[{'generated_text': 'which movie didophia Loren star in ?'}]
what school did oprah winfrey help,[{'generated_text': 'what is the aim of the academy ?'}]
what year was digicel founded in trinidad,[{'generated_text': 'how many wireless users does the company have ?'}]
what teams are winning the most match in fifa 11,[{'generated_text': 'which is true according to the article ?'}]
what is a code white in weather,[{'generated_text': 'what is a hospital emergency code ?'}]
who made the aqueduct,[{'generated_text': 'what was the longest aqueduct in the history of the eifel Aqueduct'}]
what structure is disulfide bonds,[{'generated_text': 'what is a disulfide bridge ?'}]
what percentage of england is christian,[{'generated_text': 'when wasminster Abbey used for the coronation of the monarchs ?'}]
what is a redshirt freshman football player,[{'generated_text': 'what is a true freshman ?'}]
who started world war i,[{'generated_text': 'why was the League of Nations formed ?'}]
who rules communism government,[{'generated_text': 'in what way is a state different from a party ?'}]
what would michael phelps like to see,[{'generated_text': 'where can we most probably find this article ?'}]
what staffing policy does lenovo use currently,"[{'generated_text': ""how many products are there inLenovo 's business ?""}]"
what is a slugs slime made out of,[{'generated_text': 'how many taxonomic families of slugs belong to the same evolutionary lineages ?'}]
what is ( sic ),[{'generated_text': 'who is the second in command in the field of statistics ?'}]
who overthrows france,[{'generated_text': 'what was the result of the Peninsular war ?'}]
What are 2 United States Senators that are from Pennsylvania ?,[{'generated_text': 'what day is the eleventh of every month in the history ?'}]
what year did South Africa become a team in rugby,[{'generated_text': 'who is the current captain of the Springboks ?'}]
who jumped the fence at gettysburg during the civil war ?,[{'generated_text': 'why did the Union make a torturous retreat back to Virginia ?'}]
what is a php application,[{'generated_text': 'what is the function of the PHP processor module ?'}]
who did john f kennedy run against ?,[{'generated_text': 'why did the Kennedy administration adopt the policy of the Strategic Hamlet program ?'}]
who wrote stand by me,[{'generated_text': 'when did the song come out ?'}]
what are metaphors used for,"[{'generated_text': 'what \'s the meaning of "" all the world \'s a stage "" ?'}]"
what printmaking process does n't require the text to be reversed,[{'generated_text': 'what are used for the screenprinting process ?'}]
where did the vietnamese settle in america,[{'generated_text': 'how many immigrants were there in the early immigrants ?'}]
when did hitler kill himself,[{'generated_text': 'why was the skull and jaw fragments found ?'}]
when can st louis buy alcohol,[{'generated_text': 'what is the alcohol laws of the state of Missouri like ?'}]
where do flesh eating bacteria live,[{'generated_text': 'what kind of people are likely to have this kind of disease ?'}]
when did world war 2 end,[{'generated_text': 'how many countries lost their lives during world war i ?'}]
what is a llc company ?,[{'generated_text': 'what is a limited liability company ?'}]
what are k cups,[{'generated_text': 'how are the coffee beans in the K-cup ?'}]
what is a chronograph watch,[{'generated_text': 'who invented the chronograph ?'}]
what is a PCI port used for,[{'generated_text': 'what is the disadvantage of the PCI expansion cards ?'}]
where does michael w smith come from,"[{'generated_text': 'why was he named one of People magazine \'s "" Most Beautiful people "" ?'}]"
what origin is the name sabotage,[{'generated_text': 'what do saboteurs do ?'}]
where did patrick henry go to college at,[{'generated_text': 'what type of writing is this text ?'}]
who invented the television,[{'generated_text': 'what is the history of television ?'}]
when did they show cartoons in movie theaters,[{'generated_text': 'where is the text most probably taken from ?'}]
what are the guidelines of form a black motorcycles club,[{'generated_text': 'what is a motorcycle club ?'}]
what are the side effects for lyme disease,[{'generated_text': 'where does this text probably come from ?'}]
what are penises made out of,[{'generated_text': 'what do the penises have in common ?'}]
what are a and r reps,[{'generated_text': 'what is true of artists and repertoire ?'}]
what measurement is a furlong,[{'generated_text': 'what is the exact number of the furlongs mentioned in the text ?'}]
what is a high energy lithium battery,[{'generated_text': 'what is the disadvantage of theCR2032 battery ?'}]
where does ray lamontagne live,[{'generated_text': 'how old was he when he created music ?'}]
when the wind blows james patterson,"[{'generated_text': 'who is the writer of "" when the Wind Blows "" ?'}]"
what are the pittsburgh steeler colors,[{'generated_text': 'how old was the Pittsburgh Steelers when they were founded ?'}]
who made facebook,"[{'generated_text': 'according to the text , how many unique users are there on the social networking service ?'}]"
where did the british defeat of Rommel,[{'generated_text': 'why wasommel awarded the Pour le Mérite ?'}]
who created earth day,[{'generated_text': 'why waselson awarded the Presidential Medal of Freedom award ?'}]
where do you find iodine,[{'generated_text': 'what is the leading preventable cause of intellectual disabilities ?'}]
what are lobbying groups,[{'generated_text': 'what is the cleverness with which the lobbyists argue that their own lobbying is of the'}]
who played the drums in the band cream back in 1968,[{'generated_text': 'what did the bandshine of your love do in the late 1960s ?'}]
Who played the role of Tracy Turnblad in the original 1988 version of the movie `` Hairspray '' ?,[{'generated_text': 'which is true about the film ?'}]
what religions are considered christian,[{'generated_text': 'where can we find this text ?'}]
what president made decision to buy louisiana,[{'generated_text': 'why was the sale of the territory of Louisiana during the presidency of Thomas Jefferson ?'}]
who sang cool jerk,[{'generated_text': 'which of the songs is used in the movie Donnie Brasco ?'}]
what is a league in the sea,"[{'generated_text': ""what is the league 's purpose in naming the distance a person can walk ?""}]"
when did ireland become republic,[{'generated_text': 'how long has the union of the two countries been in place ?'}]
what negative element was introduced into the the campaign between andrew jackson and john ouincy adams,[{'generated_text': 'what did the 1828 bid for re-election mean ?'}]
when will ie9 be released,[{'generated_text': 'which is not supported by the latest version of Internet Explorer ?'}]
what are the ingredients of alka-seltzer,[{'generated_text': 'how many products are mentioned in the text ?'}]
what are stalagmites and stalactites,[{'generated_text': 'what is a dripstone ?'}]
what are the acronyms for masters degree,[{'generated_text': 'what is an abbreviation ?'}]
when did classification of races begin,[{'generated_text': 'what is the use of the word race in the 20th century ?'}]
when did lucy stone died,"[{'generated_text': ""what did stone do in support of women 's rights ?""}]"
what are stocks and bonds,[{'generated_text': 'what is the difference between certificates of deposit and bonds ?'}]
what are the actual sizes of scale models,[{'generated_text': 'how many reasons are given for making aScale model ?'}]
what operating system does the zune run ?,[{'generated_text': 'what kind of device was the iPod ?'}]
what states has the electric chair,[{'generated_text': 'how many methods of execution were used in the two states ?'}]
when does the house of delegates meet in maryland,[{'generated_text': 'which office is not open to the public ?'}]
when did germans enter paris in ww2,[{'generated_text': 'how long did the Liberation of Paris last ?'}]
who wrote the song feelin alright,[{'generated_text': 'when did the Steel Drum version come out ?'}]
What underwear does Devon Werkheiser wear ?,[{'generated_text': 'what waserkheiser ?'}]
who invented the electronic health record system,[{'generated_text': 'what is an electronic health record ?'}]
what are loan originations,[{'generated_text': 'what is a specialized form of new account opening for financial services organizations ?'}]
When did the New Deal start,[{'generated_text': 'what was the aim of the program of the new Deal ?'}]
what year did aerosmith i dont want to miss a thing,"[{'generated_text': 'when did the song "" Armageddon "" come out ?'}]"
when did daylight savings time start,[{'generated_text': 'when was the modern idea of daylight saving time first proposed ?'}]
What region of France is Montargis in ?,[{'generated_text': 'where is the town of Montargis ?'}]
where in gospel of mark does the disciples question Christ deity,[{'generated_text': 'who wrote the text of the Gospel of Mark ?'}]
what year lord of rings made ?,[{'generated_text': 'what is considered to have had a great effect on modern fantasy ?'}]
who plays carly on drake and josh,[{'generated_text': 'how many seasons are there in the sitcom Drake & Josh ?'}]
when does college football training camp start,[{'generated_text': 'why did the NFL change their training policy ?'}]
what is file based system,[{'generated_text': 'what is the file system responsible for ?'}]
What political conflicts marked the presidency of William Howard Taft ?,[{'generated_text': 'how many times hasaft served in these offices ?'}]
What role did clint walker play in the movie The Ten Commandments,[{'generated_text': 'how many films are mentioned in the text ?'}]
what temperature is a salt ice bath,[{'generated_text': 'what is aldol reaction ?'}]
what not to say to eating disorder,[{'generated_text': 'which kind of eating disorder is not mentioned in the article ?'}]
when slavery abolished,[{'generated_text': 'what was slavery before the u.s.a. was established ?'}]
what produces primary xylem ?,[{'generated_text': 'how many kinds of transport tissue are mentioned ?'}]
what are the 4 eras of time which one do we live in,[{'generated_text': 'what is the date and nomenclature of the geologic time spans presented here ?'}]
what is a ti 82 ?,[{'generated_text': 'what is the direct predecessor of the TI-83 ?'}]
when character was king,[{'generated_text': 'why did the characters receive praise from several video game publications ?'}]
Where did the harpy eagle came from,[{'generated_text': 'what is the common name of the two species ?'}]
who invented the biological system of nomenclature used to classify plants and animals,"[{'generated_text': 'according to the text , which taxa belong to the science of biology ?'}]"
what record company was john lennon with,[{'generated_text': 'when wasennon posthumously inducted into the Songwriters Hall ?'}]
who has won the most grammys,[{'generated_text': 'how many Grammys did the artists win ?'}]
when did pee wee herman hosts saturday night live,"[{'generated_text': 'who created the character "" pee-wee Herman "" ?'}]"
who owned kansas before it became a state,[{'generated_text': 'why were the tribes in the western part of the state generally lived in valleys ?'}]
what are the three mental states in psychology,"[{'generated_text': 'according to the text , what is the common thing between psychologists and scientists ?'}]"
when did thomas jefferson become president,"[{'generated_text': 'according to the text , what was true about the life of Jefferson ?'}]"
who played the commandant in the police academy movie,[{'generated_text': 'who played the most important role in the police Academy films and tv series ?'}]
who won the most nba championships,[{'generated_text': 'who holds the record for most championships won by a player ?'}]
when editing precision means,"[{'generated_text': 'according to the text , which is the correct result from the experiment ?'}]"
when did the word fuck begin,"[{'generated_text': 'what is the origin of the word ""Fuck "" ?'}]"
what are the 7 continents,[{'generated_text': 'what is a continent ?'}]
what track was biker boyz filmed at ?,[{'generated_text': 'what is biker Boyz about ?'}]
what is a community property state,"[{'generated_text': 'according to the text , who can own a piece of property ?'}]"
what time will kate/will wedding start in united states,[{'generated_text': 'when did the couple get engaged ?'}]
what race is nick lachey wife vanessa minnillo,[{'generated_text': 'what hasinnillo been doing since 1998 ?'}]
what are the parts of a hand called,[{'generated_text': 'how many metacarpals are there in a koala ?'}]
who made the wwe too cool song,[{'generated_text': 'when did Too Cool begin to appear in public ?'}]
what type of light does digital alarm clock use,[{'generated_text': 'what kind of alarm clock was the original ?'}]
who voices quagmire on family guy,[{'generated_text': 'what can we learn form the text ?'}]
when monopoly came out,[{'generated_text': 'how many sets of the game Monopoly were developed from the early 20th century ?'}]
what is a sacrifice in baseball,[{'generated_text': 'what is the runner who is already on base scores on the play ?'}]
what state is Mn,[{'generated_text': 'why is the state known as a center of Scandinavian americ culture ?'}]
who do I talk to about federal grants,[{'generated_text': 'what kind of grant is a good one ?'}]
what naturally occurring isotopes does cobalt have,[{'generated_text': 'how many of the isotopes have half-lives ?'}]
Who Moved My Cheese Synopsis,[{'generated_text': 'how long has who moved my Cheese been on the list ?'}]
who replaced nikita khrushchev,[{'generated_text': 'how old was khrushchev when he died ?'}]
what to look for with GI bleeding,[{'generated_text': 'what bleeding refers to'}]
what percent of kids 15 and under make up the human population,[{'generated_text': 'what is the total number of living humans on earth ?'}]
what is a luxeon led,[{'generated_text': 'what is the relationship between Philips Lighting and Lumileds Lighting ?'}]
What Are Mnemonic Devices,[{'generated_text': 'how many kinds of memory are mentioned in the text ?'}]
who passed no child left behind,[{'generated_text': 'what is the bill written for ?'}]
what are the songs from the music man,[{'generated_text': 'how many times has the cast album been produced ?'}]
What is a surveyors wheel,"[{'generated_text': 'what \'s the meaning of "" the surveyor \'s wheel "" ?'}]"
where all deserts once lake,[{'generated_text': 'how much water is lost by evapotranspiration in desert ?'}]
where did world war 1 start,[{'generated_text': 'why was the League of Nations formed ?'}]
what year was girls just want to have fun release,"[{'generated_text': 'how many songs has`` Girls just want to have Fun "" been used by ?'}]"
when can you use a defibulator,[{'generated_text': 'what is a device called a defibrillator ?'}]
who killed count Dracula,[{'generated_text': 'who wrote the novel Dracula ?'}]
what are the players in Quidditch ?,[{'generated_text': 'who plays the most important position in the house team at Hogwarts ?'}]
what powers are specific to a particular house of Congress ?,[{'generated_text': 'how many classes are there in the text ?'}]
who wrote the song a little more country than that >,"[{'generated_text': ""what 's the title of the self-titled album ?""}]"
who makes blackberry,[{'generated_text': 'how many phones were shipped in the first quarter of 2010 ?'}]
when does a demand curve shift ?,[{'generated_text': 'what is a graphic representation of a demand schedule ?'}]
what are the reasons for historical change,"[{'generated_text': 'according to the text , what is considered prehistory ?'}]"
who shot malcolm x,"[{'generated_text': 'what did mr. black mean by saying "" integration "" ?'}]"
what is a vm server,[{'generated_text': 'what is a virtual machine ?'}]
what type of spider has the most eyes,[{'generated_text': 'how many kinds of spider are there in all kinds of animals ?'}]
what is a registered agent for an llc,[{'generated_text': 'what can affect a company negatively ?'}]
who wrote life liberty and the pur,"[{'generated_text': 'what is the meaning of the phrase "" unalienable rights "" ?'}]"
what are the quad muscles,[{'generated_text': 'what is the proper name of the adjective quadriceps ?'}]
when did the titanic sink,[{'generated_text': 'why was the disaster greeted with worldwide shock and outrage ?'}]
what is considered a large car,[{'generated_text': 'what is a full-size car in the us ?'}]
who is joel grey married to,[{'generated_text': 'who played the role of George in the musical George ?'}]
when was james madison in the house of representatives,[{'generated_text': 'who wrote the Federalist Papers ?'}]
who is roman nicki minaj,"[{'generated_text': 'who wrote the song "" Roman \'s Revenge "" ?'}]"
What is and where is hydraulic fluid found and used for,[{'generated_text': 'what is the best time to pour a hydraulic fluid ?'}]
Where Are Mahindra Tractors Made,[{'generated_text': 'how many companies are there in the world ?'}]
when was IBM Power 6 announced,[{'generated_text': 'what is the POWER6 ?'}]
what is middle class in the us,[{'generated_text': 'which is true about the middle class in the us ?'}]
Where Are `` SNL '' Cast Members Today ?,[{'generated_text': 'when did the show begin ?'}]
what is considered to be a disasters,[{'generated_text': 'what is the result of both hazard/s and vulnerability ?'}]
What is the first program to run during a system boot sequence ?,[{'generated_text': 'what is a boot loader ?'}]
what is the rationale for outsourcing in firms,[{'generated_text': 'what is a big reason for people to choose outsourcing ?'}]
when were the first firemen,[{'generated_text': 'where was the firepole in a fire station in Toronto ?'}]
When was the first Mary Poppins book written,[{'generated_text': 'who wrote the first book of theMary Poppins series ?'}]
What is the name of the main male character in the last song that miley falls in love with,"[{'generated_text': 'who wrote the novel "" the Last Song "" ?'}]"
what is sims language,[{'generated_text': 'who taught the characters to speak simlish ?'}]
what is UT testing,[{'generated_text': 'how many steps are mentioned in the text to test a machine ?'}]
What is Ischemia or infarction ?,[{'generated_text': 'what is cyanosis ?'}]
what is the lifespan of a down 's syndrome individual,[{'generated_text': 'how many people are born with Down syndrome in the us each year ?'}]
When was the Montgomery bill founded ?,[{'generated_text': 'what was the disadvantage of the war ?'}]
who is elizabeth from general hospital who are the boys fathers,"[{'generated_text': 'what is the real name of ""Elizabeth "" ?'}]"
what is reagan known for,[{'generated_text': 'what did reagan do in order to face the Soviets ?'}]
what was the crude death rate in 1990 ?,[{'generated_text': 'what is the age-specific mortality rate ( ASMR ) ?'}]
what is evoked otoacoustic emissions,[{'generated_text': 'what is an otoacoustic emission ?'}]
where was thomas located on october 27,[{'generated_text': 'what was the total damage from the storm ?'}]
what was the post modernist era in literature ?,[{'generated_text': 'what kind of works are postmodern ?'}]
who is the group enigma,[{'generated_text': 'who contributed to Enigma ?'}]
when was scooby doo created,[{'generated_text': 'what kind of program is Scooby-doo ?'}]
What is the name of the six-part comic book mini-series based on a character in Call of Duty : Modern Warfare 2 ?,[{'generated_text': 'how many games have been released by Activision since its 2011 release ?'}]
what is the federal death tax,"[{'generated_text': 'why do people call the death tax the "" death tax "" ?'}]"
who is gavin rossdale married to,[{'generated_text': 'how many times hasRossdale been ranked in the Top 100 Heavy Metal Vocalists ?'}]
when was raphael born,[{'generated_text': 'where is the school of Athens in the Vatican ?'}]
who is the CEO OF FACEBOOK,[{'generated_text': 'what role did actor Jesse Eisenberg play in the 2010 film the Social Network ?'}]
who was on the mayflower,[{'generated_text': 'what is travail and survival in a harsh New world environment ?'}]
who is on the ways and means committee,"[{'generated_text': ""who can apply for a waiver from their party 's congressional leadership ?""}]"
What Is the Largest Whale,[{'generated_text': 'what kind of blue whale is a marine mammal ?'}]
where is the seed located in an artichoke,[{'generated_text': 'which is not right about the globe artichoke ?'}]
who is on the hundred dollar bill,[{'generated_text': 'how long will the life of a $ 100 bill in circulation last before it is replaced ?'}]
what is david from the bible diet,[{'generated_text': 'who is considered to be the Messiah in the text ?'}]
what is kathmandu known for,[{'generated_text': 'how many languages are spoken in the city ?'}]
what is the system in field hockey,[{'generated_text': 'what is the FIH responsible for ?'}]
where is cane from the young and the restless,"[{'generated_text': 'what is the real name of Ethan "" cane "" Ashby ?'}]"
who is johnny depp 's band,[{'generated_text': 'where can we most probably find this article ?'}]
where is mark sanchez from,[{'generated_text': 'why did the team fail to reach the playoffs the next two seasons ?'}]
what is sump pump used for,[{'generated_text': 'why do some homeowners fail to disconnect and reroute sump pumps ?'}]
when was bloody kansas in,"[{'generated_text': 'why did the writer use the term "" Bleeding Kansas "" ?'}]"
What Is Benzene Used For,"[{'generated_text': ""what 's the relationship between Benzene and non-industrial applications ?""}]"
where was giovanni schiaparelli born ?,[{'generated_text': 'what did giovanni Virginio schiaparelli do ?'}]
what is homebrew for wii ?,[{'generated_text': 'what can be learned from the article ?'}]
who was bush 's national security advisor,[{'generated_text': 'who discussed the 2006 Israel-Lebanon crisis with Hadley ?'}]
what is the name of an investigation with controlled variables,[{'generated_text': 'what is a scientific control ?'}]
What is the complete ground state electron configuration for the iron atom,[{'generated_text': 'what are the Chemical elements in the text used for ?'}]
what was john adams doing to help france,[{'generated_text': 'what was the major achievement of his life ?'}]
what were the major obstacles facing the Industrial Revolution/,[{'generated_text': 'what is the subject of debate among historians ?'}]
what is the largest city by area in the us,[{'generated_text': 'how many examples are given in the text ?'}]
where is green bay packers from,[{'generated_text': 'what was the last vestige of the small town teams ?'}]
where is the valley at in los angeles,"[{'generated_text': ""where is the largest part of the Valley 's land area ?""}]"
when was the world of coca cola built,[{'generated_text': 'where is the current world of Coca-Cola located ?'}]
who are the characters in pretties,[{'generated_text': 'who wrote the book Pretties ?'}]
when is susan smith eligible for parole,"[{'generated_text': ""what made the woman 's judgment problems ?""}]"
